,created_at,field1,email,phone,message
60,2018-04-18 23:04:16,"2018/04/19,06:00:25,18.610,0.08245,-0.82885,5.79000,8.11146,317.42001,14.64540,33.59660,4.03,82.38",undefined,undefined,undefined
61,2018-04-18 23:37:18,"2018/04/19,06:30:25,18.600,0.08229,-0.82905,5.84400,8.10896,314.51199,14.61300,33.60500,4.03,82.38",undefined,undefined,undefined
62,2018-04-19 00:10:10,"2018/04/19,07:00:25,18.600,0.08216,-0.82917,5.89800,8.10670,313.81601,14.66410,33.59740,4.03,82.38",undefined,undefined,undefined
63,2018-04-19 00:40:41,"2018/04/19,07:30:25,18.600,0.08197,-0.82939,5.84400,8.10360,312.21600,14.63570,33.59980,4.03,82.38",undefined,undefined,undefined
64,2018-04-19 01:13:34,"2018/04/19,08:00:25,18.590,0.08210,-0.82930,5.68600,8.10618,312.16101,14.59730,33.60450,4.03,82.38",undefined,undefined,undefined
65,2018-04-19 01:49:34,"2018/04/19,08:30:25,18.590,0.08163,-0.82977,5.57800,8.09795,307.16800,14.59160,33.60520,4.03,82.21",undefined,undefined,undefined
66,2018-04-19 02:23:19,"2018/04/19,09:00:25,18.580,0.08199,-0.82937,5.46800,8.10364,309.25101,14.75920,33.61010,4.03,82.21",undefined,undefined,undefined
67,2018-04-19 02:56:39,"2018/04/19,09:30:25,18.580,0.08290,-0.82834,5.37300,8.11742,316.58301,15.06600,33.59620,4.03,82.21",undefined,undefined,undefined
68,2018-04-19 04:29:57,"2018/04/19,11:03:58,18.570,0.08334,-0.82778,4.88100,8.12422,314.15601,15.19090,33.60890,4.03,82.21",undefined,undefined,undefined
69,2018-04-19 05:00:48,"2018/04/19,12:00:25,18.560,0.08275,-0.82835,4.64800,8.11320,313.47400,15.14780,33.59890,4.03,82.21",undefined,undefined,undefined
70,2018-04-19 05:33:51,"2018/04/19,12:30:25,18.560,0.08198,-0.82913,4.52800,8.09992,308.43399,15.01440,33.60930,4.03,82.05",undefined,undefined,undefined
71,2018-04-19 06:04:22,"2018/04/19,13:00:25,18.560,0.08294,-0.82810,4.42500,8.11560,314.64401,15.21190,33.60530,4.03,82.05",undefined,undefined,undefined
72,2018-04-19 06:40:45,"2018/04/19,13:30:25,18.550,0.08306,-0.82791,4.36700,8.11730,315.54800,15.25050,33.59340,4.03,81.89",undefined,undefined,undefined
73,2018-04-19 07:11:05,"2018/04/19,14:00:25,18.550,0.08306,-0.82787,4.32000,8.11697,314.88400,15.27870,33.61180,4.03,82.05",undefined,undefined,undefined
74,2018-04-19 07:47:05,"2018/04/19,14:30:25,18.550,0.08303,-0.82793,4.24300,8.11643,314.59000,15.27970,33.59560,4.03,81.89",undefined,undefined,undefined
75,2018-04-19 08:20:01,"2018/04/19,15:00:25,18.540,0.08235,-0.82860,4.27400,8.10478,309.79599,15.22300,33.59570,4.03,81.89",undefined,undefined,undefined
76,2018-04-19 08:54:06,"2018/04/19,15:30:25,18.540,0.08269,-0.82825,4.27400,8.11063,310.76501,15.28200,33.59150,4.03,81.89",undefined,undefined,undefined
77,2018-04-19 09:24:32,"2018/04/19,16:00:25,18.530,0.08240,-0.82855,4.31500,8.10543,308.72900,15.27190,33.59470,4.03,82.05",undefined,undefined,undefined
78,2018-04-19 10:00:10,"2018/04/19,16:30:25,18.530,0.08266,-0.82830,4.39900,8.11005,310.70200,15.26050,33.59690,4.03,81.89",undefined,undefined,undefined
79,2018-04-19 10:32:19,"2018/04/19,17:30:25,18.520,0.08109,-0.83030,4.67600,8.08986,321.03400,14.15300,33.52860,4.03,82.05",undefined,undefined,undefined
80,2018-04-19 11:04:06,"2018/04/19,18:00:25,18.520,0.08095,-0.83061,4.80800,8.08941,322.26001,14.09770,33.51190,4.03,82.05",undefined,undefined,undefined
81,2018-04-19 11:35:57,0,undefined,undefined,undefined
82,2018-04-19 12:06:24,"2018/04/19,19:00:25,18.510,0.08115,-0.83052,5.02300,8.09340,322.02499,14.17600,33.50770,4.03,82.05",undefined,undefined,undefined
83,2018-04-19 12:37:27,"2018/04/19,19:30:25,18.510,0.08175,-0.82991,5.06900,8.10317,324.56201,14.28430,33.51360,4.03,82.05",undefined,undefined,undefined
84,2018-04-19 13:09:23,"2018/04/19,20:00:25,18.510,0.08214,-0.82946,5.12500,8.10937,328.05701,14.38220,33.50310,4.03,82.05",undefined,undefined,undefined
85,2018-04-19 13:41:13,"2018/04/19,20:30:25,18.500,0.08307,-0.82846,5.20900,8.12464,333.89600,14.53370,33.51560,4.03,82.05",undefined,undefined,undefined
86,2018-04-19 14:13:56,"2018/04/19,21:00:25,18.500,0.08386,-0.82759,5.19400,8.13734,340.43100,14.63370,33.54940,4.03,81.89",undefined,undefined,undefined
87,2018-04-19 14:47:09,"2018/04/19,21:30:25,18.500,0.08419,-0.82720,5.13800,8.14219,343.52701,14.71450,33.53970,4.03,81.89",undefined,undefined,undefined
88,2018-04-19 15:19:37,0,undefined,undefined,undefined
