created_at,entry_id,field1
2018-04-17 19:22:39 UTC,671,"2018/04/17,19:00:25,18.870,0.08055,-0.83331,5.41600,8.08004,328.32300,13.48790,33.56140,4.05,84.62"
2018-04-17 19:57:31 UTC,672,"2018/04/17,19:30:25,18.860,0.08002,-0.83326,5.38800,8.07537,325.82300,13.53800,33.55890,4.05,84.62"
2018-04-17 20:28:01 UTC,673,"2018/04/17,20:02:20,18.860,0.07946,-0.83334,5.35400,8.06744,324.28900,13.54920,33.56210,4.05,84.48"
2018-04-17 20:58:38 UTC,674,"2018/04/17,20:32:51,18.850,0.07959,-0.83293,5.21900,8.06995,326.27499,13.65300,33.56350,4.05,84.48"
2018-04-17 21:29:13 UTC,675,"2018/04/17,21:03:28,18.850,0.07947,-0.83281,5.14400,8.06722,328.29700,13.77400,33.55980,4.05,84.48"
2018-04-17 22:00:22 UTC,676,"2018/04/17,21:34:02,18.850,0.07949,-0.83263,5.02200,8.06711,329.25101,13.81000,33.54170,4.05,84.34"
2018-04-17 22:30:50 UTC,677,"2018/04/17,22:30:25,18.850,0.08120,-0.83042,4.82200,8.09163,331.34601,14.58140,33.56670,4.05,84.34"
2018-04-17 23:02:13 UTC,678,"2018/04/17,23:00:25,18.840,0.08173,-0.82973,4.74300,8.09888,332.06799,14.79450,33.56740,4.05,84.34"
2018-04-17 23:35:01 UTC,679,"2018/04/17,23:30:25,18.840,0.08224,-0.82909,4.67600,8.10623,333.23199,14.96780,33.56780,4.05,84.34"
2018-04-18 00:06:19 UTC,680,"2018/04/18,00:00:25,18.840,0.08219,-0.82909,4.65400,8.10468,332.98300,14.97530,33.56700,4.05,84.34"
2018-04-18 00:36:51 UTC,681,"2018/04/18,00:30:25,18.830,0.08141,-0.82990,4.67600,8.09206,330.16901,14.74290,33.56510,4.05,84.17"
2018-04-18 01:10:13 UTC,682,"2018/04/18,01:00:25,18.830,0.08179,-0.82948,4.69800,8.09833,331.49500,14.89780,33.55340,4.05,84.17"
2018-04-18 01:40:45 UTC,683,"2018/04/18,01:30:25,18.830,0.08222,-0.82900,4.74900,8.10490,332.93600,15.03970,33.56170,4.04,84.01"
2018-04-18 02:13:41 UTC,684,"2018/04/18,02:00:25,18.820,0.08100,-0.83032,4.81800,8.08529,329.95499,14.58260,33.56910,4.04,84.01"
2018-04-18 02:44:32 UTC,685,"2018/04/18,02:30:25,18.820,0.08199,-0.82924,4.95600,8.10090,331.99701,15.16680,33.45850,4.04,84.01"
2018-04-18 03:15:01 UTC,686,"2018/04/18,03:00:25,18.810,0.08036,-0.83107,5.09600,8.07536,320.61600,14.48570,33.54480,4.04,84.01"
2018-04-18 03:45:33 UTC,687,"2018/04/18,03:30:25,18.810,0.08001,-0.83153,5.28200,8.07110,318.02899,14.33630,33.55170,4.04,84.01"
2018-04-18 04:16:43 UTC,688,"2018/04/18,04:00:25,18.810,0.08021,-0.83136,5.50700,8.07512,320.20999,14.32830,33.55240,4.05,83.85"
2018-04-18 04:47:10 UTC,689,"2018/04/18,04:30:25,18.800,0.08000,-0.83160,5.69000,8.07209,319.75500,14.26440,33.55590,4.04,83.85"
2018-04-18 05:17:42 UTC,690,"2018/04/18,05:00:25,18.800,0.07970,-0.83196,5.77700,8.06730,316.14999,14.24630,33.54040,4.05,83.85"
2018-04-18 05:48:14 UTC,691,"2018/04/18,05:30:25,18.790,0.07884,-0.83294,5.89800,8.05374,305.09698,13.96470,33.56870,4.05,83.85"
