"Current time"	2020/01/22 15:05:23
#0001317	2020/02/20 00:00:25	17.04	 1.29601	0.077070	-0.870402	 5.74	16.44	15.935	 4.265	8.582340	   -inf	 0.0000	 1.0964	4835	496	316.527	102.958	16.126	  16.0958	  4.21450	  33.3545
#0001318	2020/02/20 00:30:25	17.04	 1.29348	0.077026	-0.869540	 5.72	16.49	16.003	 4.324	8.580854	   -inf	 0.0000	 1.0934	4835	496	313.034	102.003	16.210	  16.2118	  4.22919	  33.3868
#0001319	2020/02/20 01:00:25	17.04	 1.28807	0.076967	-0.870877	 5.72	16.63	16.149	 4.475	8.578286	   -inf	 0.0000	 1.0924	4835	496	325.381	106.352	16.354	  16.3196	  4.24592	  33.4436
#0001320	2020/02/20 01:30:25	17.04	 1.28996	0.077990	-0.869415	 5.74	16.65	16.098	 4.641	8.596650	   -inf	 0.0000	 1.0844	4835	496	319.118	104.115	16.268	  16.2434	  4.23659	  33.4255
#0001321	2020/02/20 02:00:25	17.04	 1.29132	0.076148	-0.868229	 5.72	16.59	16.061	 4.795	8.564951	   -inf	 0.0000	 1.0992	4835	496	319.512	104.154	16.228	  16.2043	  4.23272	  33.4242
#0001322	2020/02/20 02:30:25	17.04	 1.29438	0.077496	-0.868628	 5.72	16.57	15.979	 4.939	8.589305	   -inf	 0.0000	 1.0936	4835	496	327.025	106.388	16.133	  16.1031	  4.22565	  33.4469
#0001323	2020/02/20 03:00:25	17.04	 1.29600	0.076554	-0.867566	 5.74	16.53	15.935	 5.097	8.573337	   -inf	 0.0000	 1.0964	4835	496	324.567	105.517	16.101	  16.0822	  4.22388	  33.4488
#0001324	2020/02/20 03:30:25	17.04	 1.29768	0.078077	-0.869111	 5.74	16.46	15.889	 5.160	8.600362	   -inf	 0.0000	 1.1171	4835	496	324.605	105.427	16.055	  16.0345	  4.21999	  33.4547
#0001325	2020/02/20 04:00:25	17.04	 1.29976	0.080793	-0.869649	 5.72	16.46	15.834	 5.237	8.648328	   -inf	 0.0000	 1.0876	4835	496	323.024	104.778	15.994	  15.9654	  4.21419	  33.4615
#0001326	2020/02/20 04:30:27	17.03	 1.30139	0.083830	-0.866324	 5.74	16.49	15.790	 5.240	8.701763	   -inf	 0.0000	 1.0911	4835	496	321.825	104.299	15.954	  15.9291	  4.21135	  33.4671
#0001327	2020/02/20 05:00:25	17.04	 1.30246	0.080966	-0.869044	 5.74	16.32	15.761	 5.227	8.652119	   -inf	 0.0000	 1.1033	4835	496	319.706	103.563	15.931	  15.9127	  4.21040	  33.4725
#0001328	2020/02/20 05:30:25	17.03	 1.30575	0.078083	-0.868552	 5.72	16.31	15.673	 5.196	8.602761	   -inf	 0.0000	 1.0719	4835	496	324.047	104.732	15.825	  15.7970	  4.19841	  33.4638
#0001329	2020/02/20 06:00:25	17.03	 1.30631	0.078825	-0.867838	 5.74	16.38	15.658	 5.119	8.615867	   -inf	 0.0000	 1.0841	4835	496	324.769	104.997	15.840	  15.8263	  4.20070	  33.4593
#0001330	2020/02/20 06:30:25	17.03	 1.30683	0.078133	-0.870087	 5.72	16.63	15.644	 5.078	8.603943	   -inf	 0.0000	 1.0826	4835	496	324.128	104.747	15.820	  15.7958	  4.19788	  33.4600
#0001331	2020/02/20 07:00:25	17.03	 1.30597	0.080240	-0.868043	 5.74	16.47	15.667	 4.990	8.640459	   -inf	 0.0000	 1.0901	4835	496	322.827	104.402	15.854	  15.8351	  4.20194	  33.4629
#0001332	2020/02/20 07:30:25	17.03	 1.30471	0.079237	-0.866660	 5.74	16.60	15.701	 4.898	8.622603	   -inf	 0.0000	 1.0925	4835	496	321.201	103.966	15.895	  15.8831	  4.20522	  33.4515
#0001333	2020/02/20 08:00:25	17.03	 1.30575	0.078509	-0.869967	 5.74	16.29	15.673	 4.858	8.610201	   -inf	 0.0000	 1.0944	4835	496	316.485	102.328	15.844	  15.8097	  4.19885	  33.4569
#0001334	2020/02/20 09:08:22	17.01	 1.30469	0.077896	-0.869056	 5.74	17.44	15.701	 4.789	8.599198	   -inf	 0.0000	 1.0777	4835	496	317.387	102.722	15.890	  15.8763	  4.20494	  33.4547
#0001335	2020/02/20 10:08:11	17.01	 1.30408	0.079203	-0.870902	 5.74	17.47	15.718	 4.812	8.621826	   -inf	 0.0000	 1.0655	4835	496	313.352	101.428	15.896	  15.8772	  4.20498	  33.4543
#0001336	2020/02/20 11:08:12	17.00	 1.30459	0.078771	-0.871752	 5.72	17.47	15.704	 5.021	8.614432	   -inf	 0.0000	 1.0665	4835	496	312.439	101.084	15.874	  15.8490	  4.20245	  33.4556
#0001337	2020/02/20 11:48:12	16.99	 1.31687	0.076114	-0.878315	 5.74	17.28	15.375	 5.140	8.571508	   -inf	 0.0000	 1.1429	4835	496	311.183	99.823	15.475	  15.4209	  4.16308	  33.4673
#0001338	2020/02/20 12:08:11	16.99	 1.31847	0.075705	-0.871172	 5.72	17.16	15.332	 5.244	8.564819	   -inf	 0.0000	 1.0832	4835	496	311.724	99.987	15.470	  15.4372	  4.16453	  33.4664
#0001339	2020/02/20 13:03:51	16.99	 1.32187	0.075648	-0.868553	 5.74	17.17	15.242	 5.509	8.564772	   -inf	 0.0000	 1.0978	4835	496	313.414	100.368	15.395	  15.3657	  4.15878	  33.4757
#0001340	2020/02/20 14:08:09	16.98	 1.32302	0.077221	-0.870957	 5.72	17.00	15.211	 5.753	8.592581	   -inf	 0.0000	 1.0928	4835	496	311.768	99.811	15.382	  15.3605	  4.15885	  33.4807
#0001341	2020/02/20 15:08:34	16.98	 1.32562	0.077373	-0.870312	 5.72	16.94	15.142	 5.873	8.595970	   -inf	 0.0000	 1.1391	4835	496	313.933	100.339	15.305	  15.2813	  4.15197	  33.4865
#0001342	2020/02/20 15:42:44	16.97	 1.32644	0.079094	-0.868807	 5.74	16.90	15.120	 5.858	8.626288	   -inf	 0.0000	 1.1311	4835	496	311.857	99.642	15.290	  15.2702	  4.15062	  33.4838
#0001343	2020/02/20 16:00:25	16.98	 1.32712	0.079838	-0.868982	 5.74	15.90	15.102	 5.813	8.639483	   -inf	 0.0000	 1.1050	4835	496	313.243	100.041	15.269	  15.2455	  4.14833	  33.4842
#0001344	2020/02/20 16:30:25	16.98	 1.32773	0.078886	-0.870137	 5.74	15.69	15.086	 5.720	8.623023	   -inf	 0.0000	 1.1153	4835	496	316.227	100.968	15.257	  15.2402	  4.14739	  33.4803
#0001345	2020/02/20 17:00:25	16.99	 1.32694	0.077740	-0.868121	 5.73	15.64	15.107	 5.622	8.602757	   -inf	 0.0000	 1.1854	4835	496	318.411	101.750	15.296	  15.2900	  4.15222	  33.4812
#0001346	2020/02/20 17:30:25	16.99	 1.32615	0.075340	-0.869976	 5.72	15.69	15.128	 5.425	8.560576	   -inf	 0.0000	 1.1756	4835	496	317.574	101.520	15.313	  15.2733	  4.15078	  33.4826
#0001347	2020/02/20 18:00:25	16.99	 1.32227	0.078089	-0.868913	 5.74	15.73	15.231	 5.280	8.607547	   -inf	 0.0000	 1.1729	4835	496	315.577	101.194	15.457	  15.4575	  4.16462	  33.4500
#0001348	2020/02/20 18:30:25	16.99	 1.31615	0.078225	-0.871823	 5.72	15.86	15.394	 5.131	8.608192	   -inf	 0.0000	 1.1220	4835	496	314.809	101.289	15.615	  15.6136	  4.17522	  33.4122
#0001349	2020/02/20 19:00:25	16.99	 1.31694	0.075869	-0.870365	 5.74	15.87	15.373	 4.986	8.567255	   -inf	 0.0000	 1.1162	4835	496	316.196	101.623	15.563	  15.5415	  4.17051	  33.4313
#0001350	2020/02/20 19:30:25	16.99	 1.31683	0.077782	-0.870718	 5.74	15.91	15.376	 4.807	8.600646	   -inf	 0.0000	 1.1350	4835	496	314.418	101.054	15.564	  15.5500	  4.17153	  33.4332
#0001351	2020/02/20 20:00:25	16.99	 1.31649	0.077083	-0.869431	 5.74	15.90	15.385	 4.674	8.588336	   -inf	 0.0000	 1.1266	4835	496	314.986	101.257	15.573	  15.5587	  4.17320	  33.4408
#0001352	2020/02/20 20:30:25	16.99	 1.31467	0.075904	-0.870126	 5.72	15.95	15.434	 4.579	8.567226	   -inf	 0.0000	 1.1218	4835	496	316.500	101.881	15.636	  15.6280	  4.17827	  33.4273
#0001353	2020/02/20 21:00:25	17.00	 1.31376	0.075731	-0.870546	 5.72	15.96	15.458	 4.455	8.563957	   -inf	 0.0000	 1.1130	4835	496	317.077	102.104	15.653	  15.6414	  4.17979	  33.4296
#0001354	2020/02/20 21:30:25	17.00	 1.31278	0.076507	-0.871803	 5.72	16.01	15.484	 4.347	8.577236	   -inf	 0.0000	 1.1093	4835	496	319.038	102.793	15.680	  15.6638	  4.18282	  33.4376
#0001355	2020/02/20 22:00:25	17.00	 1.31105	0.077193	-0.869379	 5.74	16.03	15.531	 4.253	8.588725	   -inf	 0.0000	 1.1090	4835	496	319.029	102.907	15.733	  15.7240	  4.18659	  33.4203
#0001356	2020/02/20 22:30:25	17.00	 1.31008	0.078641	-0.870401	 5.74	16.09	15.557	 4.213	8.613735	   -inf	 0.0000	 1.1089	4835	496	319.247	103.017	15.751	  15.7300	  4.18731	  33.4216
#0001357	2020/02/20 23:00:25	17.00	 1.30908	0.078409	-0.869754	 5.72	16.09	15.583	 4.164	8.609405	   -inf	 0.0000	 1.1090	4835	496	319.679	103.212	15.776	  15.7498	  4.18908	  33.4206
#0001358	2020/02/20 23:30:25	17.00	 1.30799	0.079152	-0.870683	 5.72	16.14	15.613	 4.157	8.622050	   -inf	 0.0000	 1.1028	4835	496	319.403	103.186	15.805	  15.7904	  4.19065	  33.4002
#0001359	2020/02/21 00:00:25	17.00	 1.30686	0.078820	-0.871159	 5.74	16.14	15.643	 4.195	8.615943	   -inf	 0.0000	 1.1066	4835	496	319.981	103.451	15.840	  15.8217	  4.19492	  33.4118
#0001360	2020/02/21 00:30:25	17.00	 1.30577	0.076925	-0.871336	 5.72	16.21	15.672	 4.193	8.582553	   -inf	 0.0000	 1.1054	4835	496	319.417	103.320	15.863	  15.8321	  4.19427	  33.3972
#0001361	2020/02/21 01:00:25	17.00	 1.30568	0.078861	-0.869873	 5.72	16.20	15.675	 4.296	8.616319	   -inf	 0.0000	 1.1050	4835	496	319.440	103.316	15.858	  15.8227	  4.19306	  33.3944
#0001362	2020/02/21 01:30:25	17.00	 1.29914	0.076634	-0.869643	 5.74	16.32	15.850	 4.460	8.575613	   -inf	 0.0000	 1.1553	4835	496	327.277	106.356	16.082	  16.0771	  4.22113	  33.4288
#0001363	2020/02/21 02:00:25	17.00	 1.30110	0.078136	-0.868506	 5.72	16.34	15.798	 4.637	8.602370	   -inf	 0.0000	 1.0940	4835	496	319.957	103.722	15.967	  15.9264	  4.20824	  33.4417
#0001364	2020/02/21 02:30:25	17.00	 1.30188	0.081085	-0.868870	 5.74	16.31	15.777	 4.832	8.654033	   -inf	 0.0000	 1.0954	4835	496	323.857	104.964	15.957	  15.9422	  4.20977	  33.4420
#0001365	2020/02/21 03:00:25	17.00	 1.30510	0.079190	-0.869714	 5.74	16.25	15.690	 4.976	8.621902	   -inf	 0.0000	 1.1344	4835	496	323.350	104.557	15.848	  15.8108	  4.19952	  33.4620
#0001366	2020/02/21 03:30:25	16.99	 1.30661	0.076668	-0.866933	 5.74	16.39	15.650	 5.119	8.578308	   -inf	 0.0000	 1.1481	4835	496	323.142	104.422	15.817	  15.7956	  4.19794	  33.4607
#0001367	2020/02/21 04:00:25	17.00	 1.30831	0.079875	-0.870631	 5.72	16.20	15.604	 5.213	8.634755	   -inf	 0.0000	 1.1270	4835	496	321.742	103.872	15.773	  15.7549	  4.19444	  33.4641
#0001368	2020/02/21 04:30:36	16.99	 1.31067	0.079788	-0.867177	 5.74	16.74	15.541	 5.270	8.633924	   -inf	 0.0000	 1.1056	4835	496	321.767	103.704	15.694	  15.6546	  4.18625	  33.4760
#0001369	2020/02/21 05:00:25	16.99	 1.31223	0.078494	-0.866962	 5.72	16.40	15.499	 5.332	8.611781	   -inf	 0.0000	 1.1107	4835	496	323.950	104.336	15.662	  15.6392	  4.18420	  33.4708
#0001370	2020/02/21 06:08:08	16.97	 1.31449	0.079825	-0.870818	 5.74	17.20	15.439	 5.189	8.635653	   -inf	 0.0000	 1.1011	4835	496	321.587	103.454	15.607	  15.5850	  4.17943	  33.4742
#0001371	2020/02/21 07:08:08	16.97	 1.31551	0.077689	-0.869444	 5.74	17.17	15.411	 4.985	8.598653	   -inf	 0.0000	 1.0979	4835	496	323.013	103.864	15.586	  15.5684	  4.17783	  33.4740
#0001372	2020/02/21 08:08:13	16.96	 1.31528	0.078384	-0.868788	 5.72	17.17	15.418	 4.853	8.610722	   -inf	 0.0000	 1.0745	4835	496	324.024	104.203	15.592	  15.5765	  4.17687	  33.4585
#0001373	2020/02/21 09:08:37	16.95	 1.31495	0.078803	-0.867306	 5.72	17.17	15.426	 4.742	8.617942	   -inf	 0.0000	 1.0774	4835	496	324.191	104.301	15.611	  15.5941	  4.17908	  33.4633
#0001374	2020/02/21 15:08:15	16.93	 1.32951	0.078996	-0.870450	 5.74	16.81	15.039	 5.861	8.625446	   -inf	 0.0000	 1.1011	4835	496	312.991	99.826	15.207	  15.1855	  4.14299	  33.4873
#0001375	2020/02/21 15:56:02	16.92	 1.33034	0.066026	-0.873817	 5.72	16.90	15.017	 5.888	8.398836	   -inf	 0.0000	 1.0999	4835	496	312.563	99.649	15.188	  15.1685	  4.14138	  33.4873
#0001376	2020/02/21 16:00:25	16.92	 1.33050	0.080369	-0.869916	 5.72	16.37	15.013	 5.889	8.649735	   -inf	 0.0000	 1.0941	4835	496	312.429	99.605	15.188	  15.1694	  4.14148	  33.4875
#0001377	2020/02/21 16:30:25	16.93	 1.33088	0.078197	-0.868284	 5.72	15.62	15.002	 5.864	8.611862	   -inf	 0.0000	 1.1159	4835	496	313.890	100.048	15.177	  15.1583	  4.14055	  33.4886
#0001378	2020/02/21 17:00:25	16.94	 1.33051	0.078465	-0.867919	 5.74	15.56	15.012	 5.760	8.616433	   -inf	 0.0000	 1.1210	4835	496	314.641	100.325	15.194	  15.1813	  4.14253	  33.4868
#0001379	2020/02/21 17:30:25	16.94	 1.33030	0.079206	-0.870115	 5.72	15.58	15.018	 5.636	8.629336	   -inf	 0.0000	 1.1195	4835	496	317.382	101.211	15.200	  15.1845	  4.14275	  33.4861
#0001380	2020/02/21 18:00:25	16.94	 1.32800	0.080712	-0.867037	 5.72	15.57	15.079	 5.504	8.655015	   -inf	 0.0000	 1.1202	4835	496	317.477	101.434	15.288	  15.2874	  4.15143	  33.4764
#0001381	2020/02/21 18:30:25	16.94	 1.32275	0.078733	-0.867827	 5.72	15.71	15.218	 5.367	8.618938	   -inf	 0.0000	 1.1126	4835	496	319.484	102.383	15.428	  15.4128	  4.16154	  33.4604
#0001382	2020/02/21 19:00:25	16.94	 1.31955	0.078096	-0.868028	 5.74	15.77	15.304	 5.175	8.606890	   -inf	 0.0000	 1.1099	4835	496	321.095	103.110	15.523	  15.5251	  4.17075	  33.4474
#0001383	2020/02/21 19:30:25	16.94	 1.31787	0.079922	-0.869565	 5.74	15.82	15.348	 4.973	8.638311	   -inf	 0.0000	 1.1099	4835	496	321.083	103.144	15.540	  15.4686	  4.16698	  33.4617
#0001384	2020/02/21 20:00:25	16.95	 1.31219	0.079297	-0.867828	 5.74	15.93	15.500	 4.859	8.625790	   -inf	 0.0000	 1.1055	4835	496	323.205	104.202	15.709	  15.6854	  4.18621	  33.4495
#0001385	2020/02/21 20:30:25	16.95	 1.31233	0.079127	-0.869301	 5.72	16.02	15.497	 4.650	8.622856	   -inf	 0.0000	 1.0929	4835	496	322.748	103.990	15.680	  15.6479	  4.18137	  33.4381
#0001386	2020/02/21 21:00:25	16.95	 1.30668	0.078894	-0.866140	 5.74	16.12	15.648	 4.575	8.617183	   -inf	 0.0000	 1.0984	4835	496	324.752	105.100	15.888	  15.9424	  4.20477	  33.3975
#0001387	2020/02/21 21:30:25	16.95	 1.30723	0.078702	-0.866410	 5.74	16.16	15.633	 4.421	8.613993	   -inf	 0.0000	 1.0941	4835	496	323.604	104.561	15.813	  15.7881	  4.19451	  33.4366
#0001388	2020/02/21 22:00:25	16.95	 1.30373	0.080833	-0.865875	 5.72	16.17	15.727	 4.350	8.650167	   -inf	 0.0000	 1.0899	4835	496	323.125	104.710	15.949	  15.9519	  4.20738	  33.4125
#0001389	2020/02/21 22:30:25	16.95	 1.29984	0.078459	-0.868680	 5.74	16.29	15.831	 4.255	8.607647	   -inf	 0.0000	 1.0947	4835	496	325.577	105.766	16.066	  16.0730	  4.21719	  33.3975
#0001390	2020/02/21 23:00:25	16.95	 1.29986	0.078789	-0.867509	 5.72	16.34	15.831	 4.195	8.613408	   -inf	 0.0000	 1.0927	4835	496	322.927	104.786	16.012	  15.9898	  4.20867	  33.3920
#0001391	2020/02/21 23:30:25	16.95	 1.29980	0.079334	-0.869135	 5.72	16.40	15.833	 4.158	8.622890	   -inf	 0.0000	 1.0500	4835	496	323.119	104.844	16.010	  15.9716	  4.20854	  33.4062
#0001392	2020/02/22 00:00:25	16.95	 1.29666	0.078605	-0.866634	 5.72	16.39	15.917	 4.119	8.609277	   -inf	 0.0000	 1.0802	4835	496	325.604	105.939	16.138	  16.1342	  4.22229	  33.3910
#0001393	2020/02/22 00:30:25	16.95	 1.29912	0.080334	-0.868659	 5.72	16.39	15.851	 4.174	8.640139	   -inf	 0.0000	 1.0675	4835	496	320.505	103.991	16.008	  15.9651	  4.20798	  33.4067
#0001394	2020/02/22 01:00:25	16.95	 1.29702	0.081619	-0.865761	 5.74	16.38	15.907	 4.200	8.661929	   -inf	 0.0000	 1.0876	4835	496	320.851	104.334	16.112	  16.0968	  4.21927	  33.3958
#0001395	2020/02/22 01:30:25	16.95	 1.29517	0.080800	-0.867259	 5.74	16.46	15.957	 4.278	8.647123	   -inf	 0.0000	 1.0835	4835	496	319.580	104.025	16.160	  16.1463	  4.22369	  33.3932
#0001396	2020/02/22 02:00:25	16.95	 1.29541	0.077620	-0.869264	 5.72	16.47	15.951	 4.459	8.591760	   -inf	 0.0000	 1.0492	4835	496	317.502	103.300	16.137	  16.1040	  4.22356	  33.4276
#0001397	2020/02/22 02:30:25	16.95	 1.29353	0.079688	-0.868714	 5.74	16.52	16.002	 4.623	8.627256	   -inf	 0.0000	 1.0781	4835	496	318.724	103.828	16.196	  16.1883	  4.23086	  33.4213
#0001398	2020/02/22 03:00:25	16.94	 1.29386	0.079746	-0.865750	 5.72	17.32	15.993	 4.816	8.628376	   -inf	 0.0000	 1.0240	4835	496	315.615	102.762	16.172	  16.1509	  4.22775	  33.4251
#0001399	2020/02/22 03:26:01	16.94	 1.29477	0.079978	-0.872139	 5.72	17.27	15.968	 4.922	8.632681	   -inf	 0.0000	 1.0494	4835	496	306.803	99.819	16.137	  16.0966	  4.22429	  33.4403
#0001400	2020/02/22 03:30:35	16.93	 1.29455	0.077351	-0.867393	 5.74	17.59	15.974	 4.950	8.586818	   -inf	 0.0000	 1.0242	4835	496	313.921	102.176	16.156	  16.1316	  4.22643	  33.4298
#0001401	2020/02/22 04:08:10	16.93	 1.29429	0.080347	-0.868569	 5.74	17.71	15.981	 5.142	8.638967	   -inf	 0.0000	 1.0400	4835	496	309.473	100.741	16.162	  16.1442	  4.23082	  33.4580
#0001402	2020/02/22 04:35:39	16.93	 1.29507	0.077447	-0.866502	 5.74	17.75	15.960	 5.240	8.588644	   -inf	 0.0000	 1.0329	4835	496	307.550	100.042	16.128	  16.1035	  4.22777	  33.4653
#0001403	2020/02/22 05:08:04	16.93	 1.29676	0.080328	-0.866136	 5.74	17.57	15.914	 5.324	8.639357	   -inf	 0.0000	 1.0600	4835	496	309.124	100.441	16.075	  16.0495	  4.22280	  33.4669
#0001404	2020/02/22 06:09:35	16.92	 1.29940	0.080687	-0.867798	 5.74	17.60	15.843	 5.246	8.646377	   -inf	 0.0000	 1.0453	4835	496	307.827	99.887	16.012	  15.9858	  4.21708	  33.4699
#0001405	2020/02/22 07:08:16	16.92	 1.29925	0.078883	-0.865460	 5.72	17.58	15.847	 5.121	8.614865	   -inf	 0.0000	 1.0564	4835	496	311.459	101.095	16.026	  16.0118	  4.21978	  33.4719
#0001406	2020/02/22 08:08:07	16.91	 1.30041	0.078938	-0.866132	 5.74	17.57	15.816	 4.898	8.616155	   -inf	 0.0000	 1.0700	4835	496	321.565	104.304	15.994	  15.9790	  4.21354	  33.4443
#0001407	2020/02/22 09:08:04	16.91	 1.30022	0.078798	-0.867770	 5.74	17.57	15.821	 4.764	8.613657	   -inf	 0.0000	 1.0904	4835	496	317.387	102.957	15.998	  15.9607	  4.21343	  33.4588
#0001408	2020/02/22 09:16:47	16.91	 1.30070	0.070960	-0.878002	 5.74	16.94	15.808	 4.696	8.477101	   -inf	 0.0000	 1.0542	4835	496	318.692	103.346	15.982	  15.9610	  4.21308	  33.4554
#0001409	2020/02/22 10:10:39	16.90	 1.30045	0.079109	-0.866899	 5.74	17.56	15.815	 4.625	8.619149	   -inf	 0.0000	 1.0585	4835	496	317.145	102.868	15.993	  15.9753	  4.21314	  33.4439
#0001410	2020/02/22 11:08:02	16.90	 1.30013	0.079486	-0.870241	 5.72	17.56	15.824	 4.685	8.625639	   -inf	 0.0000	 1.0613	4835	496	311.370	101.013	16.002	  15.9839	  4.21348	  33.4397
#0001411	2020/02/22 12:08:15	16.90	 1.29986	0.075713	-0.872491	 5.72	17.59	15.831	 4.844	8.559761	   -inf	 0.0000	 1.1198	4835	496	298.414	96.819	16.006	  15.9811	  4.21466	  33.4525
#0001412	2020/02/22 13:08:04	16.89	 1.30115	0.076041	-0.870526	 5.72	17.56	15.796	 5.076	8.565841	   -inf	 0.0000	 1.1137	4835	496	302.505	98.066	15.967	  15.9441	  4.21575	  33.4934
#0001413	2020/02/22 14:08:03	16.89	 1.30181	0.075270	-0.871545	 5.72	17.54	15.778	 5.424	8.552578	   -inf	 0.0000	 1.1154	4835	496	302.152	97.915	15.950	  15.9302	  4.21577	  33.5053
#0001414	2020/02/22 15:08:01	16.88	 1.30294	0.078259	-0.872649	 5.74	17.50	15.748	 5.709	8.605040	   -inf	 0.0000	 1.0700	4835	496	299.839	97.099	15.918	  15.8957	  4.21166	  33.4980
#0001415	2020/02/22 16:08:06	16.88	 1.30473	0.074603	-0.873394	 5.74	17.47	15.700	 5.889	8.541755	   -inf	 0.0000	 1.1136	4835	496	301.377	97.488	15.865	  15.8419	  4.20599	  33.4931
#0001416	2020/02/22 16:30:25	16.89	 1.30497	0.075347	-0.873427	 5.72	16.32	15.694	 5.866	8.554800	   -inf	 0.0000	 1.1487	4835	496	301.662	97.580	15.865	  15.8448	  4.20619	  33.4925
#0001417	2020/02/22 17:00:25	16.89	 1.30582	0.076298	-0.872428	 5.72	16.23	15.671	 5.855	8.571626	   -inf	 0.0000	 1.1615	4835	496	304.575	98.478	15.844	  15.8228	  4.20392	  33.4910
#0001418	2020/02/22 17:30:25	16.90	 1.30616	0.075710	-0.868715	 5.74	16.23	15.662	 5.759	8.561469	   -inf	 0.0000	 1.1616	4835	496	308.000	99.572	15.838	  15.8199	  4.20373	  33.4917
#0001419	2020/02/22 18:08:41	16.89	 1.30592	0.076697	-0.870059	 5.72	17.27	15.668	 5.571	8.578621	   -inf	 0.0000	 1.1352	4835	496	307.802	99.539	15.853	  15.8392	  4.20543	  33.4905
#0001420	2020/02/22 18:30:39	16.89	 1.30449	0.076303	-0.869120	 5.72	17.34	15.707	 5.448	8.571356	   -inf	 0.0000	 1.1231	4835	496	306.689	99.290	15.905	  15.9004	  4.19489	  33.3451
#0001421	2020/02/22 19:03:32	16.88	 1.30365	0.076009	-0.871258	 5.72	17.56	15.729	 5.282	8.565989	   -inf	 0.0000	 1.1073	4835	496	306.181	99.151	15.917	  15.9013	  4.19539	  33.3488
#0001422	2020/02/22 19:30:25	16.89	 1.30179	0.077268	-0.870716	 5.74	16.41	15.779	 5.140	8.587426	   -inf	 0.0000	 1.0883	4835	496	307.011	99.544	15.976	  15.9576	  4.19400	  33.2890
#0001423	2020/02/22 20:00:25	16.89	 1.30077	0.074875	-0.871790	 5.72	16.32	15.806	 4.989	8.545398	   -inf	 0.0000	 1.1099	4835	496	307.620	99.785	15.996	  15.9997	  4.19483	  33.2610
#0001424	2020/02/22 20:30:25	16.90	 1.29885	0.075930	-0.871533	 5.72	16.37	15.858	 4.795	8.563256	   -inf	 0.0000	 1.1298	4835	496	309.342	100.470	16.055	  16.0465	  4.19682	  33.2395
#0001425	2020/02/22 21:00:25	16.89	 1.29847	0.078292	-0.868595	 5.74	16.55	15.868	 4.710	8.604348	   -inf	 0.0000	 1.0951	4835	496	310.230	100.766	16.059	  16.0432	  4.20115	  33.2806
#0001426	2020/02/22 21:30:25	16.90	 1.29914	0.075063	-0.869685	 5.74	16.41	15.850	 4.566	8.548229	   -inf	 0.0000	 1.1168	4835	496	305.871	99.285	16.028	  16.0019	  4.20032	  33.3079
#0001427	2020/02/22 22:08:04	16.88	 1.29681	0.078382	-0.869026	 5.72	17.63	15.913	 4.406	8.605437	   -inf	 0.0000	 1.0636	4835	496	307.991	100.156	16.114	  16.1020	  4.19658	  33.1909
#0001428	2020/02/22 22:30:25	16.89	 1.29618	0.078302	-0.871201	 5.72	16.52	15.930	 4.377	8.603858	   -inf	 0.0000	 1.0939	4835	496	307.177	99.894	16.115	  16.0962	  4.19690	  33.1986
#0001429	2020/02/22 23:00:25	16.90	 1.29670	0.077047	-0.871592	 5.72	16.46	15.916	 4.275	8.582138	   -inf	 0.0000	 1.0933	4835	496	305.783	99.382	16.087	  16.0605	  4.19906	  33.2475
#0001430	2020/02/22 23:30:25	16.90	 1.29683	0.075043	-0.870042	 5.72	16.46	15.913	 4.245	8.547221	   -inf	 0.0000	 1.0922	4835	496	305.669	99.348	16.089	  16.0688	  4.19846	  33.2352
#0001431	2020/02/23 00:00:25	16.90	 1.29526	0.076574	-0.869507	 5.72	16.45	15.955	 4.184	8.573482	   -inf	 0.0000	 1.0932	4835	496	308.686	100.463	16.152	  16.1430	  4.19765	  33.1661
#0001432	2020/02/23 00:30:25	16.90	 1.29501	0.078272	-0.869418	 5.72	16.51	15.962	 4.153	8.603002	   -inf	 0.0000	 1.0898	4835	496	307.705	100.130	16.146	  16.1183	  4.19753	  33.1856
#0001433	2020/02/23 01:00:25	16.90	 1.29617	0.075912	-0.870347	 5.74	16.47	15.930	 4.178	8.562190	   -inf	 0.0000	 1.0916	4835	496	303.990	98.811	16.093	  16.0602	  4.19918	  33.2488
#0001434	2020/02/23 01:30:25	16.90	 1.29638	0.076810	-0.871818	 5.74	16.46	15.924	 4.255	8.577902	   -inf	 0.0000	 1.0937	4835	496	304.245	98.900	16.096	  16.0676	  4.20057	  33.2549
#0001435	2020/02/23 02:00:25	16.90	 1.29674	0.077901	-0.870513	 5.72	16.44	15.915	 4.395	8.597038	   -inf	 0.0000	 1.0922	4835	496	300.234	97.575	16.086	  16.0638	  4.19825	  33.2375
#0001436	2020/02/23 03:08:00	16.89	 1.30067	0.074965	-0.870563	 5.72	17.56	15.809	 4.722	8.546940	   -inf	 0.0000	 1.1029	4835	496	313.075	101.505	15.973	  15.9566	  4.18624	  33.2212
#0001437	2020/02/23 06:08:34	16.87	 1.30643	0.076474	-0.868869	 5.74	17.44	15.655	 5.327	8.574882	   -inf	 0.0000	 1.0714	4835	496	309.766	100.091	15.813	  15.7891	  4.18117	  33.3169
#0001438	2020/02/23 07:03:41	16.86	 1.30814	0.072627	-0.874044	 5.72	17.49	15.609	 5.208	8.508212	   -inf	 0.0000	 1.0533	4835	496	312.845	100.999	15.773	  15.7484	  4.18029	  33.3434
