"Current time"	2018/04/17 17:43:42
#0000042	2018/04/18 14:30:25	18.72	 1.34392	0.080511	-0.830776	 5.75	15.22	14.658	 4.260	8.077295	8.633512	 0.0000	 1.1096	4835	496	299.860	94.696	14.749	  14.7564	  4.10916	  33.5491
#0000043	2018/04/18 15:00:25	18.72	 1.33902	0.081303	-0.829908	 5.73	15.43	14.787	 4.310	8.090014	8.647202	 0.0000	 1.1032	4835	496	301.268	95.458	14.903	  14.9003	  4.12535	  33.5725
#0000044	2018/04/18 15:30:25	18.71	 1.34038	0.080462	-0.830763	 5.73	15.51	14.751	 4.361	8.075625	8.632647	 0.0000	 1.1017	4835	496	298.647	94.466	14.824	  14.8135	  4.11554	  33.5580
#0000045	2018/04/18 16:00:25	18.71	 1.35446	0.079593	-0.831803	 5.75	15.53	14.380	 4.518	8.063643	8.618748	 0.0000	 1.1017	4835	496	306.646	95.974	14.338	  14.1250	  4.05690	  33.6171
#0000046	2018/04/18 16:30:25	18.70	 1.38837	0.077511	-0.834359	 5.73	14.74	13.496	 4.687	8.034786	8.584088	 0.0000	 1.1300	4835	496	308.491	94.443	13.337	  13.1299	  3.96122	  33.5972
#0000047	2018/04/18 17:00:25	18.70	 1.39791	0.077882	-0.834194	 5.73	14.37	13.249	 4.853	8.043453	8.589845	 0.0000	 1.1490	4835	496	304.184	92.923	13.239	  13.1804	  3.96532	  33.5913
#0000048	2018/04/18 17:30:25	18.69	 1.39821	0.078333	-0.833800	 5.75	14.31	13.241	 5.039	8.051457	8.596861	 0.0000	 1.1537	4835	496	302.071	92.415	13.306	  13.2947	  3.97586	  33.5897
#0000049	2018/04/18 18:00:25	18.69	 1.39475	0.078934	-0.833196	 5.73	14.43	13.331	 5.138	8.061254	8.606458	 0.0000	 1.1525	4835	496	300.770	92.281	13.435	  13.4322	  3.98938	  33.5956
#0000050	2018/04/18 18:30:27	18.68	 1.38905	0.079699	-0.832355	 5.75	14.66	13.478	 5.290	8.073421	8.619542	 0.0000	 1.1494	4835	496	301.775	92.954	13.612	  13.6314	  4.00676	  33.5831
#0000051	2018/04/18 19:00:54	18.68	 1.38548	0.079984	-0.832010	 5.73	14.74	13.571	 5.340	8.077609	8.624523	 0.0000	 1.1479	4835	496	305.093	94.134	13.688	  13.6979	  4.01350	  33.5876
#0000052	2018/04/18 19:31:41	18.68	 1.38355	0.080154	-0.831817	 5.73	14.84	13.621	 5.317	8.080151	8.627333	 0.0000	 1.1439	4835	496	306.230	94.559	13.724	  13.7137	  4.01599	  33.5971
#0000053	2018/04/18 20:04:15	18.67	 1.38016	0.080642	-0.831242	 5.73	14.88	13.709	 5.332	8.087952	8.636404	 0.0000	 1.1417	4835	496	308.481	95.475	13.829	  13.8188	  4.02569	  33.5953
#0000054	2018/04/18 20:30:25	18.68	 1.37710	0.081094	-0.830733	 5.73	14.29	13.788	 5.252	8.095186	8.644416	 0.0000	 1.1425	4835	496	313.292	97.114	13.899	  13.8861	  4.03134	  33.5889
#0000055	2018/04/18 21:00:25	18.67	 1.37565	0.080879	-0.830932	 5.73	14.35	13.826	 5.178	8.091087	8.640476	 0.0000	 1.1398	4835	496	311.992	96.736	13.910	  13.8864	  4.03139	  33.5891
#0000056	2018/04/18 21:30:25	18.67	 1.37504	0.081004	-0.830790	 5.73	14.36	13.842	 5.079	8.093129	8.642781	 0.0000	 1.1412	4835	496	312.131	96.822	13.931	  13.9145	  4.03420	  33.5907
#0000057	2018/04/18 22:00:25	18.66	 1.37011	0.081984	-0.829728	 5.75	14.43	13.971	 4.981	8.109197	8.659917	 0.0000	 1.1392	4835	496	320.679	99.861	14.108	  14.1461	  4.05483	  33.5796
#0000058	2018/04/18 22:30:25	18.66	 1.36444	0.082002	-0.829610	 5.73	14.64	14.119	 4.884	8.108197	8.660245	 0.0000	 1.1316	4835	496	323.205	100.994	14.264	  14.3184	  4.06532	  33.5265
#0000059	2018/04/18 23:00:25	18.66	 1.35265	0.082300	-0.829122	 5.75	14.80	14.428	 4.809	8.110674	8.665171	 0.0000	 1.1259	4835	496	326.240	102.727	14.615	  14.6553	  4.10402	  33.5895
#0000060	2018/04/18 23:30:25	18.65	 1.34569	0.082584	-0.828751	 5.73	15.00	14.611	 4.734	8.114003	8.669523	 0.0000	 1.1195	4835	496	328.897	103.909	14.768	  14.7980	  4.11679	  33.5827
#0000061	2018/04/19 00:00:25	18.65	 1.34673	0.081938	-0.829377	 5.73	15.16	14.583	 4.682	8.102946	8.658885	 0.0000	 1.1142	4835	496	323.981	102.102	14.654	  14.5566	  4.09569	  33.5988
#0000062	2018/04/19 00:30:25	18.65	 1.34240	0.082516	-0.828724	 5.75	15.22	14.698	 4.680	8.112050	8.668969	 0.0000	 1.1119	4835	496	326.822	103.366	14.818	  14.8261	  4.11880	  33.5767
#0000063	2018/04/19 01:00:25	18.64	 1.34280	0.082263	-0.828973	 5.73	15.19	14.687	 4.658	8.107721	8.664743	 0.0000	 1.1132	4835	496	326.027	103.007	14.770	  14.7521	  4.11321	  33.5898
#0000064	2018/04/19 01:30:25	18.64	 1.34241	0.082473	-0.828770	 5.73	15.31	14.697	 4.701	8.111304	8.668178	 0.0000	 1.1103	4835	496	327.096	103.382	14.787	  14.7757	  4.11542	  33.5894
#0000065	2018/04/19 02:00:25	18.63	 1.33726	0.082954	-0.828222	 5.75	15.47	14.833	 4.755	8.118500	8.676170	 0.0000	 1.1052	4835	496	331.617	105.217	14.965	  14.9724	  4.13415	  33.5902
#0000066	2018/04/19 02:30:25	18.63	 1.33550	0.082920	-0.828224	 5.75	15.85	14.880	 4.870	8.117489	8.675572	 0.0000	 1.1004	4835	496	332.431	105.520	14.985	  14.9650	  4.13332	  33.5891
#0000067	2018/04/19 03:00:25	18.63	 1.33300	0.082905	-0.828193	 5.75	15.96	14.946	 4.981	8.116639	8.675338	 0.0000	 1.0976	4835	496	333.548	105.992	15.036	  15.0254	  4.13668	  33.5676
#0000068	2018/04/19 03:30:25	18.62	 1.33263	0.082101	-0.828993	 5.75	16.01	14.956	 5.112	8.102488	8.661235	 0.0000	 1.0989	4835	496	325.258	103.351	15.033	  15.0074	  4.13695	  33.5855
#0000069	2018/04/19 04:01:12	18.62	 1.33517	0.081537	-0.829571	 5.73	16.10	14.889	 5.293	8.093212	8.651900	 0.0000	 1.1006	4835	496	316.426	100.350	14.944	  14.8837	  4.12705	  33.6021
#0000070	2018/04/19 04:33:49	18.61	 1.33979	0.081905	-0.829288	 5.75	15.97	14.767	 5.445	8.100740	8.658296	 0.0000	 1.1048	4835	496	315.575	99.821	14.824	  14.7907	  4.11767	  33.5971
#0000071	2018/04/19 05:00:25	18.61	 1.33963	0.082399	-0.828797	 5.73	15.27	14.771	 5.589	8.109352	8.666839	 0.0000	 1.1112	4835	496	317.881	100.613	14.853	  14.8346	  4.12204	  33.5989
#0000072	2018/04/19 05:30:25	18.61	 1.34337	0.082625	-0.828659	 5.73	15.23	14.672	 5.690	8.114186	8.670414	 0.0000	 1.1125	4835	496	318.531	100.545	14.727	  14.6832	  4.10736	  33.5960
#0000073	2018/04/19 06:00:25	18.61	 1.34503	0.082447	-0.828855	 5.73	15.18	14.628	 5.790	8.111462	8.667493	 0.0000	 1.1139	4835	496	317.420	100.116	14.692	  14.6454	  4.10385	  33.5966
#0000074	2018/04/19 06:30:25	18.60	 1.34645	0.082285	-0.829052	 5.73	15.15	14.591	 5.844	8.108956	8.664478	 0.0000	 1.1161	4835	496	314.512	99.116	14.653	  14.6130	  4.10171	  33.6050
#0000075	2018/04/19 07:00:25	18.60	 1.34645	0.082156	-0.829170	 5.74	15.12	14.591	 5.898	8.106698	8.662417	 0.0000	 1.1161	4835	496	313.816	98.939	14.673	  14.6641	  4.10572	  33.5974
#0000076	2018/04/19 07:30:25	18.60	 1.34731	0.081968	-0.829388	 5.73	15.11	14.568	 5.844	8.103603	8.658874	 0.0000	 1.1166	4835	496	312.216	98.387	14.651	  14.6357	  4.10329	  33.5998
